30-05-2014	13:16:38

Ensaios SCC:	


Nota 01:	


Data Table

============
Date-time	Pv1	Pc	Pv2	T1	Tc	T2	Pcin
30-05-2014-13:16:40	0,0000	-	0,0000	0,0000	0,0000	0,0000	2,5595
30-05-2014-13:16:40	0,9334	-	1,0359	23,9887	24,3458	24,2135	2,5595
30-05-2014-13:16:40	0,9497	-	1,0467	24,0861	24,4108	24,2298	2,5595
30-05-2014-13:16:41	0,9226	-	1,0413	24,1997	24,3783	24,3596	2,5595
30-05-2014-13:16:41	0,9334	-	1,0359	24,0049	24,3296	24,2460	2,5595
30-05-2014-13:16:41	0,9389	-	1,0250	24,0374	24,4432	24,3272	2,5595
30-05-2014-13:16:42	0,9443	-	1,0413	24,0374	24,3620	24,3434	2,5595
30-05-2014-13:16:42	0,9334	-	1,0413	24,0698	24,3620	24,3434	2,5595
30-05-2014-13:16:42	0,9334	-	1,0413	24,0861	24,4108	24,2622	2,5595
30-05-2014-13:16:43	0,9389	-	1,0413	24,0861	24,3945	24,2298	2,5595
30-05-2014-13:16:43	0,9443	-	1,0467	24,1023	24,4108	24,2947	2,5595
30-05-2014-13:16:43	0,9443	-	1,0359	24,1185	24,3458	24,3596	2,5595
30-05-2014-13:16:43	0,9389	-	1,0413	24,1348	24,3945	24,2947	2,5595
30-05-2014-13:16:44	0,9389	-	1,0305	24,0536	24,3134	24,3596	2,5595
30-05-2014-13:16:44	0,9389	-	1,0413	24,1185	24,3945	24,2622	2,5595
30-05-2014-13:16:44	0,9443	-	1,0413	24,0374	24,2971	24,3272	2,5595
30-05-2014-13:16:45	0,9389	-	1,0413	24,0698	24,3783	24,2947	2,5595
30-05-2014-13:16:45	0,9443	-	1,0359	24,1834	24,4270	24,3272	2,5595
30-05-2014-13:16:45	0,9443	-	1,0413	24,1185	24,4270	24,3759	2,5595
30-05-2014-13:16:46	0,9334	-	1,0413	24,1023	24,3783	24,2947	2,5595
30-05-2014-13:16:46	0,9389	-	1,0413	24,0861	24,4270	24,2947	2,5595
30-05-2014-13:16:46	0,9497	-	1,0359	24,1672	24,4108	24,2622	2,5595
30-05-2014-13:16:46	0,9172	-	1,0413	24,0212	24,3620	24,3109	2,5595
30-05-2014-13:16:47	0,9389	-	1,0359	24,0861	24,4108	24,3272	2,5595
30-05-2014-13:16:47	0,9389	-	1,0359	23,9725	24,3945	24,2785	2,5595
30-05-2014-13:16:47	0,9443	-	1,0413	24,1023	24,3296	24,3759	2,5595
30-05-2014-13:16:48	0,9443	-	1,0413	24,1510	24,3620	24,2785	2,5595
30-05-2014-13:16:48	0,9443	-	1,0413	24,0698	24,3458	24,3596	2,5595
30-05-2014-13:16:48	0,9226	-	1,0359	24,1834	24,4270	24,3109	2,5595
30-05-2014-13:16:49	0,9389	-	1,0359	24,1510	24,3783	24,3272	2,5595
30-05-2014-13:16:49	0,9443	-	1,0413	24,1510	24,3945	24,3434	2,5595
30-05-2014-13:16:50	0,9443	-	1,0305	24,1510	24,3945	24,3109	2,5595
30-05-2014-13:16:51	0,9389	-	1,0250	24,1185	24,3620	24,3272	2,5595
30-05-2014-13:16:51	0,9443	-	1,0305	24,1185	24,2971	24,3272	2,5595
30-05-2014-13:16:51	0,9389	-	1,0305	24,2159	24,3458	24,3109	2,5595
30-05-2014-13:16:51	0,9443	-	1,0467	24,1348	24,4432	24,2947	2,5595
30-05-2014-13:16:52	0,9334	-	1,0413	24,1672	24,4757	24,2947	2,5595
30-05-2014-13:16:52	0,9389	-	1,0305	24,0374	24,4270	24,2947	2,5595
30-05-2014-13:16:52	0,9443	-	1,0305	24,0698	24,4270	24,2947	2,5595
30-05-2014-13:16:53	0,9226	-	1,0413	24,0536	24,3296	24,2135	2,5595
30-05-2014-13:16:55	0,9389	-	1,0359	24,1185	24,4270	24,2622	2,5595
30-05-2014-13:16:55	0,9389	-	1,0359	24,0049	24,3783	24,3272	2,5595
30-05-2014-13:16:56	0,9172	-	1,0359	24,0536	24,3945	24,2135	2,5595
30-05-2014-13:16:56	0,9443	-	1,0467	24,1023	24,3945	24,2622	2,5595
30-05-2014-13:16:56	0,9389	-	1,0359	24,1348	24,3458	24,2622	2,5595
30-05-2014-13:16:56	0,9389	-	1,0250	24,1834	24,3945	24,3109	2,5595
30-05-2014-13:16:57	0,9443	-	1,0413	24,1185	24,3945	24,2785	2,5595
30-05-2014-13:16:57	0,9389	-	1,0467	24,1997	24,4432	24,3109	2,5595
30-05-2014-13:16:57	0,9389	-	1,0467	24,0049	24,3296	24,2622	2,5595
30-05-2014-13:16:58	0,9389	-	1,0359	24,0861	24,3783	24,3434	2,5595
30-05-2014-13:16:58	0,9389	-	1,0305	24,0861	24,4108	24,2622	2,5595
30-05-2014-13:16:58	0,9389	-	1,0359	24,1672	24,3458	24,2785	2,5595
30-05-2014-13:16:59	0,9443	-	1,0629	24,1672	24,4270	24,2785	2,5595
30-05-2014-13:16:59	0,9389	-	1,0467	24,1348	24,3783	24,3109	2,5595
30-05-2014-13:16:59	0,9443	-	1,0467	24,1510	24,3296	24,2460	2,5595
30-05-2014-13:16:59	0,9443	-	1,0467	24,1510	24,4108	24,2785	2,5595
30-05-2014-13:17:00	0,9389	-	1,0413	24,1834	24,3945	24,3272	2,5595
30-05-2014-13:17:00	0,9334	-	1,0250	24,0049	24,4270	24,2135	2,5595
30-05-2014-13:17:00	0,9389	-	1,0359	24,0861	24,3783	24,2622	2,5595
30-05-2014-13:17:01	0,9389	-	1,0413	24,0374	24,4108	24,2947	2,5595
30-05-2014-13:17:01	0,9389	-	1,0413	24,1023	24,3620	24,3434	2,5595
30-05-2014-13:17:01	0,9226	-	1,0413	24,1023	24,3945	24,3109	2,5595
30-05-2014-13:17:02	0,9443	-	1,0359	24,1672	24,4270	24,3434	2,5595
30-05-2014-13:17:02	0,9443	-	1,0359	24,0698	24,3783	24,3109	2,5595
30-05-2014-13:17:02	0,9226	-	1,0359	24,1023	24,4108	24,3272	2,5595
30-05-2014-13:17:02	0,9389	-	1,0413	24,1997	24,3945	24,3921	2,5595
30-05-2014-13:17:03	0,9334	-	1,0413	24,0536	24,3783	24,2298	2,5595
30-05-2014-13:17:03	0,9389	-	1,0359	24,1672	24,3783	24,2298	2,5595
30-05-2014-13:17:03	0,9443	-	1,0305	24,1510	24,3458	24,2785	2,5595
30-05-2014-13:17:04	0,9443	-	1,0305	24,1510	24,3783	24,3272	2,5595
30-05-2014-13:17:04	0,9443	-	1,0359	24,1185	24,3783	24,3596	2,5595
30-05-2014-13:17:04	0,9443	-	1,0575	24,1672	24,3620	24,2947	2,5595
30-05-2014-13:17:05	0,9443	-	1,0467	24,1672	24,3783	24,2947	2,5595
30-05-2014-13:17:05	0,9389	-	1,0305	24,1672	24,3783	24,3759	2,5595
30-05-2014-13:17:05	0,9334	-	1,0413	24,1348	24,4108	24,3434	2,5595
30-05-2014-13:17:05	0,9334	-	1,0305	24,0212	24,3783	24,3434	2,5595
30-05-2014-13:17:06	0,9389	-	1,0359	24,1185	24,4108	24,3272	2,5595
30-05-2014-13:17:06	0,9389	-	1,0359	24,1185	24,3620	24,2135	2,5595
30-05-2014-13:17:06	0,9497	-	1,0359	24,1185	24,3134	24,2785	2,5595
30-05-2014-13:17:07	0,9443	-	1,0359	24,1023	24,4108	24,3109	2,5595
30-05-2014-13:17:07	0,9389	-	1,0467	24,1185	24,4595	24,2785	2,5595
30-05-2014-13:17:07	0,9443	-	1,0413	24,1834	24,4270	24,3109	2,5595
30-05-2014-13:17:08	0,9443	-	1,0305	24,1348	24,3783	24,3272	2,5595
30-05-2014-13:17:08	0,9443	-	1,0413	24,1672	24,3620	24,3434	2,5595
30-05-2014-13:17:08	0,9389	-	1,0305	24,0536	24,3945	24,2460	2,5595
30-05-2014-13:17:08	0,9334	-	1,0305	24,1510	24,4108	24,3272	2,5595
30-05-2014-13:17:09	0,9443	-	1,0467	24,1348	24,3296	24,2785	2,5595
30-05-2014-13:17:09	0,9389	-	1,0413	24,1672	24,4108	24,3272	2,5595
30-05-2014-13:17:09	0,9334	-	1,0413	24,1834	24,3134	24,2947	2,5595
30-05-2014-13:17:10	0,9334	-	1,0413	24,1348	24,4270	24,3759	2,5595
30-05-2014-13:17:10	0,9389	-	1,0142	24,1510	24,3296	24,3109	2,5595
30-05-2014-13:17:10	0,9389	-	1,0359	24,1510	24,3945	24,3272	2,5595
30-05-2014-13:17:11	0,9334	-	1,0305	24,1348	24,4270	24,3759	2,5595
30-05-2014-13:17:11	0,9443	-	1,0467	24,0698	24,2971	24,2947	2,5595
30-05-2014-13:17:11	0,9334	-	1,0305	24,1023	24,4108	24,3272	2,5595
30-05-2014-13:17:11	0,9389	-	1,0413	24,1997	24,4108	24,3272	2,5595
30-05-2014-13:17:12	0,9497	-	1,0413	24,2484	24,4108	24,2785	2,5595
30-05-2014-13:17:12	0,9443	-	1,0305	24,1997	24,3296	24,4083	2,5595
30-05-2014-13:17:12	0,9389	-	1,0413	24,1510	24,4432	24,2947	2,5595
30-05-2014-13:17:13	0,9334	-	1,0359	24,1023	24,3458	24,2785	2,5595
30-05-2014-13:17:13	0,9443	-	1,0305	24,1185	24,3945	24,3434	2,5595
30-05-2014-13:17:13	0,9389	-	1,0305	24,0861	24,4432	24,3109	2,5595
30-05-2014-13:17:14	0,9334	-	1,0413	24,0861	24,3945	24,2785	2,5595
30-05-2014-13:17:14	0,9443	-	1,0359	24,0861	24,3134	24,3759	2,5595
30-05-2014-13:17:14	0,9389	-	1,0413	24,1997	24,3458	24,3109	2,5595
30-05-2014-13:17:14	0,9389	-	1,0413	24,1185	24,4270	24,2947	2,5595
30-05-2014-13:17:15	0,9443	-	1,0467	24,1997	24,3945	24,2785	2,5595
30-05-2014-13:17:15	0,9497	-	1,0359	24,1023	24,3620	24,3596	2,5595
30-05-2014-13:17:15	0,9443	-	1,0413	24,1023	24,3783	24,3596	2,5595
30-05-2014-13:17:16	0,9443	-	1,0305	24,1672	24,3783	24,3921	2,5595
30-05-2014-13:17:16	0,9389	-	1,0305	24,0698	24,3945	24,3434	2,5595
30-05-2014-13:17:16	0,9389	-	1,0413	24,1834	24,3783	24,2947	2,5595
30-05-2014-13:17:17	0,9443	-	1,0305	24,1348	24,4108	24,3272	2,5595
30-05-2014-13:17:17	0,9443	-	1,0413	24,1510	24,3783	24,4083	2,5595
30-05-2014-13:17:17	0,9334	-	1,0359	24,1348	24,4432	24,3109	2,5595
30-05-2014-13:17:17	0,9334	-	1,0305	24,1348	24,4432	24,3109	2,5595
30-05-2014-13:17:18	0,9389	-	1,0305	24,1185	24,4432	24,3272	2,5595
30-05-2014-13:17:18	0,9497	-	1,0413	24,0861	24,4270	24,2947	2,5595
30-05-2014-13:17:18	0,9389	-	1,0142	24,0861	24,4432	24,3596	2,5595
30-05-2014-13:17:19	0,9443	-	1,0413	24,0212	24,3783	24,2785	2,5595
30-05-2014-13:17:19	0,9334	-	1,0359	24,1510	24,4595	24,3759	2,5595
30-05-2014-13:17:19	0,9443	-	1,0413	24,1834	24,3945	24,2947	2,5595
30-05-2014-13:17:20	0,9389	-	1,0359	24,1185	24,3296	24,2785	2,5595
30-05-2014-13:17:20	0,9443	-	1,0413	24,1510	24,3945	24,2947	2,5595
30-05-2014-13:17:22	0,9334	-	1,0467	24,1510	24,4108	24,3921	2,5595
30-05-2014-13:17:23	0,9443	-	1,0305	24,0861	24,3620	24,2460	2,5595
30-05-2014-13:17:23	0,9443	-	1,0142	24,0536	24,3458	24,3272	2,5595
30-05-2014-13:17:24	0,9334	-	1,0305	24,0536	24,3945	24,3272	2,5595
30-05-2014-13:17:24	0,9389	-	1,0250	24,0049	24,4270	24,3272	2,5595
30-05-2014-13:17:24	0,9334	-	1,0250	24,0212	24,3296	24,3272	2,5595
30-05-2014-13:17:25	0,9389	-	1,0305	24,1023	24,3620	24,3434	2,5595
30-05-2014-13:17:25	0,9443	-	1,0359	24,1185	24,3296	24,3434	2,5595
30-05-2014-13:17:25	0,9389	-	1,0359	24,1023	24,3945	24,3434	2,5595
30-05-2014-13:17:26	0,9334	-	1,0359	24,0212	24,3458	24,3109	2,5595
30-05-2014-13:17:26	0,9497	-	1,0250	24,0374	24,4108	24,3272	2,5595
30-05-2014-13:17:26	0,9389	-	1,0305	24,0374	24,3945	24,2460	2,5595
30-05-2014-13:17:26	0,9226	-	1,0359	24,1185	24,3945	24,2135	2,5595
30-05-2014-13:17:27	0,9389	-	1,0250	24,0374	24,3783	24,2947	2,5595
30-05-2014-13:17:27	0,9226	-	1,0359	24,0861	24,3458	24,3109	2,5595
30-05-2014-13:17:27	0,9334	-	1,0250	24,1023	24,3783	24,3272	2,5595
30-05-2014-13:17:28	0,9389	-	1,0413	24,1185	24,3783	24,3272	2,5595
30-05-2014-13:17:28	0,9389	-	1,0305	24,0536	24,3783	24,2785	2,5595
30-05-2014-13:17:28	0,9443	-	1,0250	24,0212	24,3458	24,2947	2,5595
30-05-2014-13:17:29	0,9443	-	1,0305	24,0049	24,3296	24,3109	2,5595
30-05-2014-13:17:29	0,9226	-	1,0250	24,0374	24,3296	24,3109	2,5595
30-05-2014-13:17:29	0,9497	-	1,0250	24,0536	24,3458	24,2460	2,5595
30-05-2014-13:17:29	0,9172	-	1,0359	24,0698	24,3296	24,2785	2,5595
30-05-2014-13:17:30	0,9334	-	1,0413	24,1023	24,3458	24,3109	2,5595
30-05-2014-13:17:30	0,9334	-	1,0250	24,0212	24,4108	24,2622	2,5595
30-05-2014-13:17:30	0,9389	-	1,0413	24,0374	24,3296	24,3109	2,5595
30-05-2014-13:17:31	0,9389	-	1,0305	24,0861	24,3458	24,3109	2,5595
30-05-2014-13:17:31	0,9334	-	1,0305	24,0374	24,3783	24,3272	2,5595
30-05-2014-13:17:31	0,9334	-	1,0413	24,0212	24,3945	24,2947	2,5595
30-05-2014-13:17:32	0,9334	-	1,0305	24,1185	24,3620	24,2622	2,5595
30-05-2014-13:17:32	0,9389	-	1,0413	24,0536	24,3945	24,2947	2,5595
30-05-2014-13:17:32	0,9226	-	1,0413	24,1348	24,3945	24,2947	2,5595
30-05-2014-13:17:32	0,9443	-	1,0359	24,1023	24,3945	24,3434	2,5595
30-05-2014-13:17:33	0,9334	-	1,0359	23,9887	24,3945	24,2947	2,5595
30-05-2014-13:17:33	0,9334	-	1,0305	24,0698	24,3620	24,3596	2,5595
30-05-2014-13:17:33	0,9389	-	1,0359	24,0698	24,4432	24,3272	2,5595
30-05-2014-13:17:34	0,9389	-	1,0142	24,0861	24,4108	24,2622	2,5595
30-05-2014-13:17:34	0,9443	-	1,0413	24,1185	24,3945	24,2622	2,5595
30-05-2014-13:17:34	0,9389	-	1,0359	24,1510	24,4432	24,2622	2,5595
30-05-2014-13:17:35	0,9443	-	1,0413	24,1672	24,3296	24,3109	2,5595
30-05-2014-13:17:35	0,9389	-	1,0359	24,1672	24,4270	24,3272	2,5595
30-05-2014-13:17:35	0,9389	-	1,0467	24,1348	24,3945	24,3109	2,5595
30-05-2014-13:17:35	0,9334	-	1,0359	24,1185	24,3458	24,2785	2,5595
30-05-2014-13:17:36	0,9389	-	1,0413	24,0536	24,3296	24,3434	2,5595
30-05-2014-13:17:36	0,9389	-	1,0359	24,0861	24,3296	24,2947	2,5595
30-05-2014-13:17:36	0,9334	-	1,0305	24,0536	24,4432	24,2785	2,5595
30-05-2014-13:17:37	0,9389	-	1,0359	24,1185	24,3134	24,3272	2,5595
30-05-2014-13:17:37	0,9334	-	1,0305	24,0698	24,3620	24,3596	2,5595
30-05-2014-13:17:37	0,9443	-	1,0413	24,1348	24,4108	24,3272	2,5595
30-05-2014-13:17:38	0,9389	-	1,0359	24,1834	24,3783	24,3921	2,5595
30-05-2014-13:17:38	0,9443	-	1,0359	24,1834	24,4270	24,3921	2,5595
30-05-2014-13:17:38	0,9389	-	1,0305	24,0861	24,3458	24,2622	2,5595
30-05-2014-13:17:38	0,9389	-	1,0359	24,1348	24,3620	24,2947	2,5595
30-05-2014-13:17:39	0,9443	-	1,0250	24,0861	24,3296	24,2298	2,5595
30-05-2014-13:17:39	0,9389	-	1,0359	24,1348	24,3458	24,2947	2,5595
30-05-2014-13:17:39	0,9497	-	1,0359	24,1510	24,3783	24,2622	2,5595
30-05-2014-13:17:40	0,9389	-	1,0467	24,1023	24,4108	24,3109	2,5595
30-05-2014-13:17:40	0,9389	-	1,0305	24,1185	24,4108	24,3272	2,5595
30-05-2014-13:17:40	0,9389	-	1,0359	24,1185	24,3945	24,2785	2,5595
30-05-2014-13:17:41	0,9226	-	1,0359	24,1023	24,4270	24,2785	2,5595
30-05-2014-13:17:41	0,9334	-	1,0413	24,0698	24,3783	24,3109	2,5595
30-05-2014-13:17:41	0,9389	-	1,0413	24,1348	24,3945	24,2622	2,5595
30-05-2014-13:17:41	0,9443	-	1,0359	24,1348	24,3458	24,2622	2,5595
30-05-2014-13:17:42	0,9389	-	1,0359	24,1510	24,3945	24,3109	2,5595
30-05-2014-13:17:42	0,9389	-	1,0413	24,1997	24,4270	24,2785	2,5595
30-05-2014-13:17:42	0,9443	-	1,0305	24,1672	24,4108	24,2460	2,5595
30-05-2014-13:17:43	0,9389	-	1,0359	24,1997	24,4270	24,3596	2,5595
30-05-2014-13:17:43	0,9334	-	1,0413	24,1348	24,3945	24,2947	2,5595
30-05-2014-13:17:43	0,9334	-	1,0305	24,1348	24,4108	24,3109	2,5595
30-05-2014-13:17:44	0,9334	-	1,0305	24,0536	24,3458	24,3434	2,5595
30-05-2014-13:17:44	0,9334	-	1,0305	24,1510	24,3296	24,3109	2,5595
30-05-2014-13:17:45	0,9334	-	1,0413	24,1672	24,3783	24,2947	2,5595
30-05-2014-13:17:45	0,9389	-	1,0305	24,1348	24,3458	24,3434	2,5595
30-05-2014-13:17:45	0,9443	-	1,0305	24,1834	24,3458	24,3434	2,5595
30-05-2014-13:17:45	0,9443	-	1,0250	24,1348	24,4270	24,3596	2,5595
30-05-2014-13:17:46	0,9389	-	1,0250	24,1185	24,3620	24,2947	2,5595
30-05-2014-13:17:46	0,9389	-	1,0413	24,0698	24,4108	24,2785	2,5595
30-05-2014-13:17:46	0,9334	-	1,0413	24,1510	24,4432	24,3272	2,5595
30-05-2014-13:17:47	0,9334	-	1,0413	24,1672	24,3620	24,2622	2,5595
30-05-2014-13:17:50	0,9443	-	1,0413	24,1997	24,4108	24,3434	0,9226
30-05-2014-13:17:51	0,9334	-	1,0413	24,0861	24,3620	24,2460	0,9443
30-05-2014-13:17:51	0,9226	-	1,0413	24,0698	24,2971	24,3434	0,9443
30-05-2014-13:17:52	0,9443	-	1,0467	24,1510	24,3783	24,3434	0,9226
30-05-2014-13:17:52	0,9334	-	1,0305	24,1672	24,3783	24,3109	0,9226
30-05-2014-13:17:53	0,9443	-	1,0250	24,1185	24,4270	24,3434	0,9389
30-05-2014-13:17:54	0,9226	-	1,0305	24,0861	24,3945	24,4083	0,9389
30-05-2014-13:17:54	0,9389	-	1,0250	24,0698	24,4432	24,3921	0,9497
30-05-2014-13:17:55	0,9389	-	1,0629	24,0861	24,3945	24,3759	0,9497
30-05-2014-13:17:56	0,9334	-	1,0413	24,1348	24,3945	24,3109	0,9497
30-05-2014-13:17:56	0,9389	-	1,0088	24,0861	24,4108	24,2947	0,9497
30-05-2014-13:17:57	0,9389	-	1,0250	24,1023	24,3458	24,3759	0,9389
30-05-2014-13:17:57	0,9497	-	1,0359	24,0536	24,3945	24,3272	0,9389
30-05-2014-13:17:58	0,9226	-	1,0359	24,1672	24,4108	24,3759	0,9443
30-05-2014-13:17:58	0,9389	-	1,0359	24,1348	24,3945	24,3759	0,9443
30-05-2014-13:17:59	0,9389	-	1,0359	24,0698	24,3620	24,2785	0,9443
30-05-2014-13:18:00	0,9389	-	1,0305	24,0212	24,4108	24,3109	0,9443
30-05-2014-13:18:00	0,9443	-	1,0413	24,1510	24,4270	24,3109	0,9389
30-05-2014-13:18:01	0,9118	-	1,0413	24,1672	24,3296	24,2622	0,9389
30-05-2014-13:18:02	0,9226	-	1,0359	24,0212	24,3783	24,2622	0,9389
30-05-2014-13:18:03	0,9226	-	1,0413	24,0212	24,3783	24,2947	0,9389
30-05-2014-13:18:05	0,9389	-	1,0359	24,0536	24,4108	24,2785	0,9389
30-05-2014-13:18:07	0,9334	-	1,0250	24,1185	24,3458	24,3109	0,9389
30-05-2014-13:18:09	0,9389	-	1,0305	24,0698	24,4108	24,3434	0,9226
30-05-2014-13:18:11	0,9389	-	1,0305	24,1510	24,4108	24,2785	0,9389
30-05-2014-13:18:13	0,9389	-	1,0359	24,0861	24,4432	24,3272	0,9334
30-05-2014-13:18:15	0,9334	-	1,0250	24,0536	24,4108	24,2947	0,9334
30-05-2014-13:18:17	0,9226	-	1,0305	24,0536	24,3458	24,2947	0,9334
30-05-2014-13:18:19	0,9334	-	1,0305	24,1348	24,3134	24,2785	0,9389
30-05-2014-13:18:21	0,9389	-	1,0359	24,1023	24,3134	24,3434	0,9334
30-05-2014-13:18:23	0,9443	-	1,0359	24,0536	24,3458	24,2622	0,9389
30-05-2014-13:18:25	0,9334	-	1,0250	24,0374	24,2971	24,3596	0,9172
30-05-2014-13:18:26	0,9334	-	1,0467	24,0861	24,2971	24,2460	0,9334
30-05-2014-13:18:56	1,6732	-	1,0359	24,1185	24,3945	24,3759	1,6572
30-05-2014-13:18:59	1,1872	-	1,0359	24,0861	24,3296	24,3434	1,6785
30-05-2014-13:19:00	1,1010	-	1,0250	24,1510	24,3783	24,2460	1,1279
30-05-2014-13:19:00	1,1118	-	1,0250	24,1023	24,3296	24,3272	1,1279
30-05-2014-13:19:01	1,0686	-	1,0250	24,0374	24,3620	24,2622	1,0956
30-05-2014-13:19:01	1,0686	-	1,0359	24,1023	24,3945	24,3759	1,0956
30-05-2014-13:19:02	1,0686	-	1,0250	24,0861	24,3945	24,3434	1,0578
30-05-2014-13:19:03	1,0524	-	1,0142	24,0374	24,3945	24,2947	1,0578
30-05-2014-13:19:03	1,0578	-	1,0250	24,0536	24,3134	24,2947	1,0416
30-05-2014-13:19:04	1,0362	-	1,0359	24,0212	24,3296	24,2622	1,0416
30-05-2014-13:19:05	1,0362	-	1,0305	24,0212	24,4108	24,3109	1,0362
30-05-2014-13:19:05	1,0362	-	1,0413	24,0049	24,3458	24,3109	1,0362
30-05-2014-13:19:06	1,0308	-	1,0467	24,1023	24,4108	24,2460	1,0254
30-05-2014-13:19:06	1,0146	-	1,0413	24,0212	24,3458	24,3272	1,0254
30-05-2014-13:19:07	1,0254	-	1,0359	24,0374	24,3783	24,2622	1,0254
30-05-2014-13:19:07	1,0308	-	1,0250	24,1023	24,3620	24,2947	1,0254
30-05-2014-13:19:08	1,0146	-	1,0359	24,0698	24,3458	24,2785	1,0254
30-05-2014-13:19:09	1,0146	-	1,0359	24,0374	24,3783	24,2947	1,0254
30-05-2014-13:19:09	1,0038	-	1,0142	23,9887	24,4108	24,2785	0,9984
