
30-05-2014	13:16:38

Ensaios SCC:	


Nota 01:	


Data Table

============
Cycle	set	Pit(vol1)	Pf2(Pc)	ZPf2(Pv2)	T1	Tc	T2
1	1	0,9226	0,9410	==>	24,1185	24,3783	24,3272
1	1	1,6785	1,0449	==>	24,0698	24,3620	24,2460
1	2	2,0217	1,7050	==>	23,9562	24,3458	24,2785
1	3	2,5232	2,2596	==>	24,1348	24,3620	24,2622
1	4	3,0447	2,7805	==>	24,0536	24,3134	24,2298
1	5	3,3007	3,0729	==>	24,1510	24,3783	24,2785
1	6	5,0139	4,1041	==>	24,0698	24,4108	24,3109
1	7	5,2726	4,3159	==>	24,1185	24,5731	24,2298
1	8	5,2676	4,4696	==>	24,1510	24,5894	24,2460
1	9	5,2925	4,6274	==>	24,0698	24,6543	24,1648
1	10	7,3162	6,0146	==>	24,1348	24,6380	24,1811
1	1	14,1711	11,2209	==>	24,1348	24,6705	24,2460
0,0012	24,0861	24,6868	24,2298
1	2	==>	5,1238	0,0012	24,1997	24,6543	24,2947
1	2	==>	2,8093	0,0009	24,2159	24,5244	24,2298
1	2	==>	1,7737	0,0012	24,0212	24,4108	24,2622
1	2	==>	1,4421	0,0007	24,1672	24,3945	24,2460
1	2	==>	1,3642	0,0014	24,1834	24,3783	24,2135
1	2	==>	1,3242	0,0017	24,1997	24,3296	24,2785
1	2	==>	1,2872	0,0009	24,2159	24,2971	24,2135
1	2	==>	1,2564	0,0014	24,2321	24,2646	24,2460
1	2	==>	1,2242	0,0009	24,1834	24,1997	24,2785
1	2	==>	1,1939	0,0012	24,1834	24,1672	24,2622
1	2	==>	1,1556	0,0012	24,2646	24,1835	24,2135
1	2	==>	1,1164	0,0009	24,1997	24,1835	24,2622
1	2	==>	1,0835	0,0009	24,2159	24,1185	24,2135
1	2	==>	1,0526	0,0009	24,1834	24,0049	24,2622
1	2	==>	1,0349	0,0009	24,2159	24,0699	24,1973
1	2	==>	1,0364	0,0014	24,1510	23,9887	24,2947
1	2	==>	1,0319	0,0009	24,0698	24,0374	24,2785
1	2	==>	1,0329	0,0012	24,1510	24,0374	24,2947
1	2	==>	1,0274	
